video_file,testset_id,model,annotator,physical_plausibility_1_4,description_of_issue,physics_category,action_completed,observability,hidden_property_followed_1_4
030_unitree_g1dex1_fold_towel_ep0.mp4,30,Wan2.2,Aditya,1,A new blue towel appears out of thin air and it picked the towel without tocuhing.,"Causality, Contact",yes,observable,
031_unitree_g1dex1_fold_towel_ep199.mp4,31,Wan2.2,Isaiah,3,Cloth folds in on itself. Towel folds in on itself.,"Contact, Momentum",yes,observable,
032_gr00t_gr1_fold_cloth_long_ep0.mp4,32,Wan2.2,Jiqing,1,"The cloth undergoes highly unrealistic changes in shape, color, and texture.","Contact, Deformation",yes,observable,
033_gr00t_gr1_fold_cloth_long_ep257.mp4,33,Wan2.2,Xinyuan,1,cloth became wide all of a sudden,Deformation,no,observable,
034_gr00t_egodex_crumple_flatten_paper_ep56.mp4,34,Wan2.2,Som,1,The ball of paper transforms into a complete paper without any folds and some cuts dissappear,Deformation,yes,observable,
035_gr00t_egodex_braid_unbraid_ep63.mp4,35,Wan2.2,Aditya,1,The ropes were never picked and another rope appeared out of thin air.,Causality,no,observable,
036_agibot_task362_fold_shorts_ep0.mp4,36,Wan2.2,Isaiah,1,Shorts morph into larger pair of shorts. Orientation of shorts changes without being rotated.,"Deformation, Causality, Collision",no,observable,
039_unitree_g1dex1_zip_up_ep0.mp4,39,Wan2.2,Jiqing,2,The plastic bag deforms before being touched by the robot's hand.,"Contact, Deformation, Momentum",no,observable,
041_unitree_g1dex3_block_stacking_ep0.mp4,41,Wan2.2,Xinyuan,1,lower blocks disappeared when place new blocks on top of them,"Causality, Contact",yes,observable,
042_unitree_g1dex3_block_stacking_ep150.mp4,42,Wan2.2,Som,1,cube is not in hand and moves up towards the end,"Contact, Causality",no,observable,
043_unitree_g1dex3_block_stacking_ep300.mp4,43,Wan2.2,Aditya,1,The robot never picked a block but new blocks appeared in its hand over time.,"Causality, Contact",no,observable,
044_unitree_g1dex1_stack_block_ep0.mp4,44,Wan2.2,Isaiah,2,Red cube appears out of nowhere in the right gripper. Right cube morphs into a different shape.,"Contact, Deformation",yes,observable,
045_unitree_g1dex1_stack_block_ep199.mp4,45,Wan2.2,Jiqing,1,"The red block appears to be lifted by an invisible force rather than grasped by the robot's hand, violating gravity. It also deforms unnaturally.","Momentum, Deformation, Contact, Gravity",no,observable,
046_humanoid_everyday_stack_two_cubes_g1_ep4358.mp4,46,Wan2.2,Xinyuan,3,the camera view suddenly changed; smaller cube a bit floating,"Causality, Contact",yes,observable,
047_humanoid_everyday_unstack_two_cubes_g1_ep4518.mp4,47,Wan2.2,Som,4,,,yes,observable,
048_humanoid_everyday_pick_the_hammer_and_hit_desk_ep8398.mp4,48,Wan2.2,Aditya,1,The robot never picks the hammer.,"Causality, Contact",no,observable,
049_humanoid_everyday_pick_the_hammer_and_hit_desk_ep8399.mp4,49,Wan2.2,Isaiah,4,,,no,observable,
050_humanoid_everyday_push_duck_g1_ep3612.mp4,50,Wan2.2,Jiqing,3,The duck doesn't move.,Friction,yes,observable,
051_ai2_alphabot_2_clink_glasses_ep0.mp4,51,Wan2.2,Xinyuan,4,,,no,observable,
052_ai2_alphabot_2_clink_glasses_ep392.mp4,52,Wan2.2,Som,4,,,no,observable,
053_ai2_alphabot_2_stack_cups_ep0.mp4,53,Wan2.2,Aditya,3,The robot picked 2 cups together without properly closing the gripper.,Contact,no,observable,
054_ai2_alphabot_2_stack_blocks_ep0.mp4,54,Wan2.2,Isaiah,1,Grippers morph into other objects. Purple block shifts into another purple block. Objects move at impossible speed.,"Deformation, Momentum, Causality, Friction, Gravity",yes,observable,
055_unitree_g1dex1_paper_cup_stacking_ep0.mp4,55,Wan2.2,Jiqing,1,"Two cups appear from nowhere, and they merge together instead of being stacked.","Deformation, Contact",yes,observable,
056_unitree_g1dex1_stack_bowls_ep0.mp4,56,Wan2.2,Xinyuan,1,arm move without the base; green bowl grew from the blue bowl,"Causality, Contact, Deformation",no,observable,
057_gr00t_gr1_pour_items_into_basket_ep0.mp4,57,Wan2.2,Som,1,the cup is not in grip of the robot,Contact,yes,observable,
058_gr00t_gr1_pour_items_into_basket_ep50.mp4,58,Wan2.2,Aditya,1,The robot never picks the glass and a weird liquid starts pouring from its hand.,"Fluid, Contact",no,observable,
059_gr00t_gr1_pour_items_into_basket_ep99.mp4,59,Wan2.2,Isaiah,1,Fluid begins pouring out of robotic arm.,"Causality, Deformation",yes,observable,
060_unitree_g1dex1_pour_medicine_ep0.mp4,60,Wan2.2,Jiqing,1,"The bottle is not grasped by the robot; instead, it rises into the air on its own. The pouring action is also not performed.","Contact, Gravity, Momentum",no,observable,
061_unitree_g1dex1_pour_medicine_ep100.mp4,61,Wan2.2,Xinyuan,1,bottle grew from left hand; bottle pass through the box,"Deformation, Causality, Collision",no,observable,
062_unitree_g1dex1_pour_medicine_ep199.mp4,62,Wan2.2,Som,1,medcine bottle appeats out of nowhere,"Causality, Contact",no,observable,
063_humanoid_everyday_pour_out_some_sunflower_seeds_ep3292.mp4,63,Wan2.2,Aditya,3,The robot didn't picked the seed properly and it just moved to its hands.,"Causality, Contact",no,observable,
064_humanoid_everyday_pour_out_some_sunflower_seeds_ep3293.mp4,64,Wan2.2,Isaiah,3,The right arm duplicates to pickup the bag. Bag deforms unrealistically. Seeds fall out of bag unrealistically.,"Deformation, Gravity",yes,observable,
066_ai2_alphabot_2_pour_mung_beans_ep0.mp4,66,Wan2.2,Jiqing,2,"The cup isn't picked up, the beans appear from nowhere.",Causality,no,observable,
067_ai2_alphabot_2_pour_mung_beans_ep212.mp4,67,Wan2.2,Xinyuan,3,how the beans landed is a bit unnatural,Collision,yes,observable,
068_dlr_sara_pour_into_mug_ep0.mp4,68,Wan2.2,Som,1,not using the mug water is coming from the robot,Fluid,no,observable,
070_humanoid_everyday_push_the_tape_towards_the_notebook_ep3720.mp4,70,Wan2.2,Aditya,2,The dispenser was not moving and there was some tape like artifact in between.,"Contact, Deformation",no,observable,
071_humanoid_everyday_push_box_screws_left_desk_right_ep3572.mp4,71,Wan2.2,Isaiah,2,Objects are not properly grabbed by robotic hands.,"Contact, Gravity",no,observable,
072_humanoid_everyday_push_pencil_case_container_ep3680.mp4,72,Wan2.2,Jiqing,3,The pencil case floats up in the air before being grasped.,"Gravity, Contact",yes,observable,
073_rh20t_cfg1_hit_pool_ball_scene0001_ep2194.mp4,73,Wan2.2,Xinyuan,1,ball moved without being hit,"Causality, Friction",no,observable,
074_rh20t_cfg1_hit_pool_ball_scene0002_ep2464.mp4,74,Wan2.2,Som,1,the cue moves on its own,"Causality, Contact, Momentum",no,observable,
075_unitree_g1dex1_conveyor_sorting_ep0.mp4,75,Wan2.2,Aditya,2,There is some bottle like artifact when the robot arm is trying to pick the bottle.,"Contact, Causality",no,observable,
076_unitree_g1dex1_conveyor_sorting_ep1048.mp4,76,Wan2.2,Isaiah,1,Arm appears on the left side.  Bottle gets thrown off conveyor belt with no prior cause.,"Gravity, Momentum, Deformation, Causality",no,observable,
077_humanoid_everyday_use_soft_sponge_wipe_dry_surface_ep8634.mp4,77,Wan2.2,Jiqing,2,The sponge continuously undergoes unrealistic deformation.,"Deformation, Contact",yes,observable,
078_humanoid_everyday_wipe_a_table_with_an_eraser_ep8914.mp4,78,Wan2.2,Xinyuan,1,text on eraser disappeared; eraser floats to the hand,"Contact, Deformation, Causality",yes,observable,
079_humanoid_everyday_clean_the_window_ep7001.mp4,79,Wan2.2,Som,1,the duster is not gripped,Contact,no,observable,
080_unitree_g1dex1_erase_board_ep0.mp4,80,Wan2.2,Aditya,1,A pen just pops into robot arm and the eraser jumps to the robot arm in beginning.,"Contact, Causality",no,observable,
081_unitree_g1dex1_erase_board_ep199.mp4,81,Wan2.2,Isaiah,2,Eraser is not properly attached to hand. Whiteboard changes color after being wiped.,"Momentum, Deformation, Contact, Causality",no,observable,
082_galbot_g1_clear_table_residue_1_ep0.mp4,82,Wan2.2,Jiqing,2,The shrimps are initially on the table but suddenly appear on the cloth. Their size and number change inconsistently.,Causality,yes,observable,
083_galbot_g1_wipe_mirror_ep0.mp4,83,Wan2.2,Xinyuan,2,the reflection in the mirror is not correct,"Causality, Collision, Deformation",no,observable,
084_agibot_task421_wipe_stain_ep0.mp4,84,Wan2.2,Som,1,cloth moves on its own no contact,"Contact, Causality, Momentum, Gravity",no,observable,
085_agibot_task421_wipe_stain_ep950.mp4,85,Wan2.2,Aditya,2,The liquid appears out of thin air after the robot wipes it.,"Contact, Fluid, Causality",yes,observable,
086_aloha_static_ziploc_slide_ep0.mp4,86,Wan2.2,Isaiah,3,Slight morphing on robot grippers.  Grippers slightly morph shape.,"Contact, Deformation",no,observable,
087_unitree_g1dex3_toasted_bread_ep0.mp4,87,Wan2.2,Jiqing,3,The breads floats in the air a bit.,Gravity,yes,observable,
088_unitree_g1dex3_toasted_bread_ep208.mp4,88,Wan2.2,Xinyuan,2,toast in the toaster disappeared; the new toast deformation is weird,"Deformation, Gravity, Causality",no,observable,
089_unitree_g1dex3_toasted_bread_ep417.mp4,89,Wan2.2,Som,3,the toaster moves towards the robot a bit,"Causality, Momentum",no,observable,
091_unitree_z1_dual_pour_coffee_ep330.mp4,91,Wan2.2,Aditya,3,"Instead of handing over the coffee capsule, the robot got stuck with one another.","Deformation, Contact",no,observable,
093_humanoid_everyday_press_start_boiling_button_ep8078.mp4,93,Wan2.2,Isaiah,3,Right arm morphs into different shape.,"Deformation, Contact",yes,observable,
094_humanoid_everyday_pick_up_kettle_place_base_turn_ep7022.mp4,94,Wan2.2,Jiqing,1,The kettle deforms a lot.,"Deformation, Contact",yes,observable,
095_galbot_g1_scrub_toilet_ep0.mp4,95,Wan2.2,Xinyuan,1,"open the lid without touching it, the toilet deformed a bit","Causality, Contact, Deformation",no,observable,
096_galbot_g1_scrub_toilet_ep186.mp4,96,Wan2.2,Som,3,robot doesnt have complete grip of the lid,"Causality, Momentum, Contact",yes,observable,
097_aloha_mobile_shrimp_ep0.mp4,97,Wan2.2,Aditya,1,The arm is very weird with one half picking the shrimp and other half is made up of shrimp. And it was floating in air as well.,Causality,no,observable,
098_aloha_static_coffee_ep0.mp4,98,Wan2.2,Isaiah,2,Coffee cup morphs into left gripper and disappears.,"Contact, Deformation, Collision",no,observable,
007_unitree_g1dex1_wipe_table_ep0.mp4,7,cosmos3 nano,Isaiah,1,Rag moves across the table without the arm actually moving it.,Causality,yes,observable,
008_unitree_g1dex1_wipe_table_ep100.mp4,8,cosmos3 nano,Isaiah,4,,,no,observable,
009_unitree_g1dex1_wipe_table_ep199.mp4,9,cosmos3 nano,Isaiah,2,"Rag starts to move on its own without being touched, and fluid is moving without any physical reason","Causality, Fluid",no,observable,
010_unitree_g1dex1_syringe_water_transfer_ep0.mp4,10,cosmos3 nano,Isaiah,2,Syringe morphs into the robot grippers hands.,"Collision, Deformation",no,observable,
011_unitree_g1dex1_syringe_water_transfer_ep516.mp4,11,cosmos3 nano,Isaiah,2,Syringe floats into grippers hand and fills with liquid wihtout being drawn,"Deformation, Gravity",yes,observable,
012_unitree_g1dex1_syringe_water_transfer_ep1033.mp4,12,cosmos3 nano,Isaiah,3,Cup floats to the right of the table without being moved.,"Gravity, Momentum",no,observable,
014_unitree_g1edu_u3_pour_drink_ep648.mp4,14,cosmos3 nano,Isaiah,4,,,yes,observable,
015_unitree_g1edu_u3_pour_drink_ep1297.mp4,15,cosmos3 nano,Isaiah,4,,,yes,observable,
016_ai2_alphabot_2_pour_water_ep0.mp4,16,cosmos3 nano,Isaiah,4,,,no,observable,
017_ai2_alphabot_2_shake_bottle_ep0.mp4,17,cosmos3 nano,Isaiah,3,Fluid in flask moves unrealistically,Fluid,yes,observable,
018_ai2_alphabot_2_shake_bottle_ep393.mp4,18,cosmos3 nano,Isaiah,1,Flask floats and shakes without being touched. Fluid does not move inside the flask while it is moving.,"Gravity, Contact",no,observable,
019_agibot_task410_water_pouring_ep0.mp4,19,cosmos3 nano,Isaiah,3,Fluid takes too long to start pouring out of the cup.,Fluid,yes,observable,
021_aloha_mobile_wash_pan_ep0.mp4,21,cosmos3 nano,Isaiah,1,"Water pours from the spout without being turned on. Water is not being collected into the pan, and the robot artm morphs into a different shape.","Fluid, Deformation, Causality",no,observable,
022_aloha_mobile_wipe_wine_ep0.mp4,22,cosmos3 nano,Isaiah,1,The rag repeatedly passes through the glass without moving it. Rag seems to act too rigid,"Collision, Deformation",yes,observable,
025_humanoid_everyday_fold_towel_ep4838.mp4,25,cosmos3 nano,Isaiah,2,"The left gripper morphs into another shape. Then the rag seems to morph into itself, and doesn't fold realistically.","Deformation, Collision",yes,observable,
026_humanoid_everyday_fold_towel_ep4839.mp4,26,cosmos3 nano,Isaiah,2,The robot gripper morphs into another shape. The cloth begins to slide unrealistically.,"Deformation, Causality",yes,observable,
027_humanoid_everyday_squeeze_a_ball_ep5118.mp4,27,cosmos3 nano,Isaiah,3,The ball slightly moves on its own without being touched.,"Causality, Momentum",no,observable,
028_humanoid_everyday_squeeze_a_toy_ep5158.mp4,28,cosmos3 nano,Isaiah,1,The toy begins to morph into an unrealistic shape and begins moving withouth cause.,"Deformation, Causality",no,observable,
029_humanoid_everyday_compress_a_plastic_bag_ep4598.mp4,29,cosmos3 nano,Isaiah,4,,,yes,observable,
030_unitree_g1dex1_fold_towel_ep0.mp4,30,cosmos3 nano,Isaiah,3,"The right gripper morphs into a hand shape, and the cloth moves slightly unrealistically.","Deformation, Contact",yes,observable,
031_unitree_g1dex1_fold_towel_ep199.mp4,31,cosmos3 nano,Isaiah,2,Contact is not properly made with the cloth when it begins to fold. The cloth folds into an impossible shape.,"Contact, Deformation",yes,observable,
032_gr00t_gr1_fold_cloth_long_ep0.mp4,32,cosmos3 nano,Jiqing,3,The deformation around the fold looks unnatural when the cloth is folded,"Contact, Deformation",yes,observable,
033_gr00t_gr1_fold_cloth_long_ep257.mp4,33,cosmos3 nano,Jiqing,3,The deformation doesn't look natural after the cloth is folded.,"Contact, Deformation",yes,observable,
034_gr00t_egodex_crumple_flatten_paper_ep56.mp4,34,cosmos3 nano,Jiqing,2,"The paper begins to deform before it is actually crumpled, indicating incorrect deformation timing.","Contact, Deformation",yes,observable,
035_gr00t_egodex_braid_unbraid_ep63.mp4,35,cosmos3 nano,Jiqing,2,The strands move without being touched,"Contact, Deformation",yes,observable,
036_agibot_task362_fold_shorts_ep0.mp4,36,cosmos3 nano,Jiqing,3,The shorts deform a little bit unnatural when being folded,"Contact, Deformation",yes,observable,
039_unitree_g1dex1_zip_up_ep0.mp4,39,cosmos3 nano,Jiqing,4,,"Contact, Deformation",yes,observable,
041_unitree_g1dex3_block_stacking_ep0.mp4,41,cosmos3 nano,Jiqing,2,"The blocks follow unrealistic trajectory when lifted, appearing to be pulled upward rather than physically picked up.","Gravity, Momentum",yes,observable,
042_unitree_g1dex3_block_stacking_ep150.mp4,42,cosmos3 nano,Jiqing,4,,"Gravity, Momentum",yes,observable,
043_unitree_g1dex3_block_stacking_ep300.mp4,43,cosmos3 nano,Jiqing,1,"One cube turned into two cubes, the cube also deformed a little bit after being lifted.",Deformation,yes,observable,
044_unitree_g1dex1_stack_block_ep0.mp4,44,cosmos3 nano,Jiqing,1,"The blocks appear to stick to the robot's finger without being properly grasped, the blocks also deform a little bit.","Deformation, Momentum",yes,observable,
045_unitree_g1dex1_stack_block_ep199.mp4,45,cosmos3 nano,Jiqing,1,"One block disapears, the other one deforms.",Deformation,yes,observable,
046_humanoid_everyday_stack_two_cubes_g1_ep4358.mp4,46,cosmos3 nano,Jiqing,1,The appearance of the cube surface changes when dropped on the other cube.,Deformation,yes,observable,
047_humanoid_everyday_unstack_two_cubes_g1_ep4518.mp4,47,cosmos3 nano,Jiqing,2,The cube is not contacting with the robot's finger properly when first lifted,"Gravity, Momentum",yes,observable,
048_humanoid_everyday_pick_the_hammer_and_hit_desk_ep8398.mp4,48,cosmos3 nano,Jiqing,1,"The yellow cloth and the robot hand deforms, and overlap unrealistically.",Deformation,yes,observable,
049_humanoid_everyday_pick_the_hammer_and_hit_desk_ep8399.mp4,49,cosmos3 nano,Jiqing,1,The grey basket deforms when the hammer is lifted.,Deformation,yes,observable,
050_humanoid_everyday_push_duck_g1_ep3612.mp4,50,cosmos3 nano,Jiqing,1,The duck doesn't contact with the robot finger properly but still changes location.,Momentum,yes,observable,
051_ai2_alphabot_2_clink_glasses_ep0.mp4,51,cosmos3 nano,Jiqing,4,,,,observable,
052_ai2_alphabot_2_clink_glasses_ep392.mp4,52,cosmos3 nano,Jiqing,4,,,,observable,
053_ai2_alphabot_2_stack_cups_ep0.mp4,53,cosmos3 nano,Jiqing,2,The cups deform when lifted.,Deformation,yes,observable,
054_ai2_alphabot_2_stack_blocks_ep0.mp4,54,cosmos3 nano,Jiqing,3,The one of the robot fingers move unnaturally.,Deformation,yes,observable,
055_unitree_g1dex1_paper_cup_stacking_ep0.mp4,55,cosmos3 nano,Jiqing,1,"The cups are not grasped properly, but are still lifted. They appear to stick to the robot's finger","Gravity, Momentum",yes,observable,
056_unitree_g1dex1_stack_bowls_ep0.mp4,56,cosmos3 nano,Xinyuan,3,gripper bended where there's no joint,Deformation,yes,observable,
057_gr00t_gr1_pour_items_into_basket_ep0.mp4,57,cosmos3 nano,Xinyuan,2,glass meltedand blended with the orange objects,"Deformation, Collision",yes,observable,
058_gr00t_gr1_pour_items_into_basket_ep50.mp4,58,cosmos3 nano,Xinyuan,2,hand deformed unaturally,Deformation,yes,observable,
059_gr00t_gr1_pour_items_into_basket_ep99.mp4,59,cosmos3 nano,Xinyuan,4,,,no,observable,
060_unitree_g1dex1_pour_medicine_ep0.mp4,60,cosmos3 nano,Xinyuan,1,bottle suddenly grew from the hand and disappeared lated,"Causality, Deformation, Contact, Collision",yes,observable,
061_unitree_g1dex1_pour_medicine_ep100.mp4,61,cosmos3 nano,Xinyuan,2,bottle pass through the hand,"Deformation, Collision",yes,observable,
062_unitree_g1dex1_pour_medicine_ep199.mp4,62,cosmos3 nano,Xinyuan,2,bottle pass through the hand,"Collision, Deformation",no,observable,
063_humanoid_everyday_pour_out_some_sunflower_seeds_ep3292.mp4,63,cosmos3 nano,Xinyuan,2,"hand just grasp the corner, the bag is floating; and it deformed from bottom up to top up at the end","Contact, Deformation, Gravity, Momentum",yes,observable,
064_humanoid_everyday_pour_out_some_sunflower_seeds_ep3293.mp4,64,cosmos3 nano,Xinyuan,2,thrid hand grew from the right hand and finished the task,Deformation,yes,observable,
066_ai2_alphabot_2_pour_mung_beans_ep0.mp4,66,cosmos3 nano,Xinyuan,4,,,yes,observable,
067_ai2_alphabot_2_pour_mung_beans_ep212.mp4,67,cosmos3 nano,Xinyuan,4,,,yes,observable,
068_dlr_sara_pour_into_mug_ep0.mp4,68,cosmos3 nano,Xinyuan,2,"coffee pouring out from the middle of the cup, not from the opening","Collision, Fluid",yes,observable,
070_humanoid_everyday_push_the_tape_towards_the_notebook_ep3720.mp4,70,cosmos3 nano,Xinyuan,4,,,no,observable,
071_humanoid_everyday_push_box_screws_left_desk_right_ep3572.mp4,71,cosmos3 nano,Xinyuan,4,,,no,observable,
072_humanoid_everyday_push_pencil_case_container_ep3680.mp4,72,cosmos3 nano,Xinyuan,1,thrid hand grew from the right hand and pencil case deformed with nothing touching it,"Causality, Contact, Deformation",no,observable,
073_rh20t_cfg1_hit_pool_ball_scene0001_ep2194.mp4,73,cosmos3 nano,Xinyuan,1,pool ball grew from the hand and the movement is unatural,"Causality, Collision, Deformation, Momentum, Friction",no,observable,
074_rh20t_cfg1_hit_pool_ball_scene0002_ep2464.mp4,74,cosmos3 nano,Xinyuan,1,robot arm broke unaturally and balls changed from white to pool balls,"Causality, Collision, Contact, Deformation, Gravity",no,observable,
075_unitree_g1dex1_conveyor_sorting_ep0.mp4,75,cosmos3 nano,Xinyuan,1,snack bag changed appearance suddenly,"Causality, Contact, Deformation, Gravity",no,observable,
076_unitree_g1dex1_conveyor_sorting_ep1048.mp4,76,cosmos3 nano,Xinyuan,2,hand grasp the bottle without touching it,"Causality, Contact, Gravity",no,observable,
077_humanoid_everyday_use_soft_sponge_wipe_dry_surface_ep8634.mp4,77,cosmos3 nano,Xinyuan,3,looks like sponge is not touching the table or no force applied but it wiped the marker,Friction,yes,observable,
078_humanoid_everyday_wipe_a_table_with_an_eraser_ep8914.mp4,78,cosmos3 nano,Som/Aditya,1,eraser moving on its own,"Causality, Momentum, Friction",no,observable,
079_humanoid_everyday_clean_the_window_ep7001.mp4,79,cosmos3 nano,Som/Aditya,3,robot using a duster to clean the board,"Causality, Contact",no,observable,
080_unitree_g1dex1_erase_board_ep0.mp4,80,cosmos3 nano,Som/Aditya,1,robot trying to erase but random marking appear on board,"Causality, Contact",yes,observable,
081_unitree_g1dex1_erase_board_ep199.mp4,81,cosmos3 nano,Som/Aditya,4,robot erases marking on board,Contact,yes,observable,
082_galbot_g1_clear_table_residue_1_ep0.mp4,82,cosmos3 nano,Som/Aditya,2,robot places shrimpts into a bowl but one shrimpt disappears also the bowl movemenrs looks incorrect,Deformation,yes,observable,
083_galbot_g1_wipe_mirror_ep0.mp4,83,cosmos3 nano,Som/Aditya,4,robot picks up a towl and moves it across the mirror,Contact,no,observable,
084_agibot_task421_wipe_stain_ep0.mp4,84,cosmos3 nano,Som/Aditya,1,towel and items on the table surface move on its own,Causality,no,observable,
085_agibot_task421_wipe_stain_ep950.mp4,85,cosmos3 nano,Som/Aditya,2,towel is very rigid and not moving,"Contact, Momentum",yes,observable,
086_aloha_static_ziploc_slide_ep0.mp4,86,cosmos3 nano,Som/Aditya,3,robot arms looked like it got an extra gripper,Contact,yes,observable,
087_unitree_g1dex3_toasted_bread_ep0.mp4,87,cosmos3 nano,Som/Aditya,1,bread flew away,"Causality, Momentum",no,observable,
088_unitree_g1dex3_toasted_bread_ep208.mp4,88,cosmos3 nano,Som/Aditya,4,,"Causality, Momentum",yes,observable,
089_unitree_g1dex3_toasted_bread_ep417.mp4,89,cosmos3 nano,Som/Aditya,2,toaster moved in the begining and bread moved in the end without any external force.,"Momentum, Contact, Causality",yes,observable,
093_humanoid_everyday_press_start_boiling_button_ep8078.mp4,93,cosmos3 nano,Som/Aditya,4,The robot just pushes the kettle and never turns it on.,Contact,no,observable,
094_humanoid_everyday_pick_up_kettle_place_base_turn_ep7022.mp4,94,cosmos3 nano,Som/Aditya,2,The task is incomplete and the robot picks the kettle without grasping the handle.,"Causality, Contact",no,observable,
095_galbot_g1_scrub_toilet_ep0.mp4,95,cosmos3 nano,Som/Aditya,1,The single lid splits into 2 lids upon contact and robot doesn't open it properly.,"Causality, Contact, Deformation",no,observable,
096_galbot_g1_scrub_toilet_ep186.mp4,96,cosmos3 nano,Som/Aditya,1,The lid stretches out when the robot tries to open it.,"Deformation, Contact, Causality",no,observable,
097_aloha_mobile_shrimp_ep0.mp4,97,cosmos3 nano,Som/Aditya,3,There is orange artifact attached on gripper which vanishes towards the end.,Contact,yes,observable,
098_aloha_static_coffee_ep0.mp4,98,cosmos3 nano,Som/Aditya,2,The gripper is moving and lifting the object without properly closing the gripper. And it doesn't press the buttons in the end.,"Contact, Causality",no,observable,
007_unitree_g1dex1_wipe_table_ep0_hunyuan15.mp4,7,Hunyuan 1.5,Isaiah,4,,,no,observable,
008_unitree_g1dex1_wipe_table_ep100_hunyuan15.mp4,8,Hunyuan 1.5,Jiqing,3,The amount of liquid increases after it spreads out.,Fluid,yes,observable,
009_unitree_g1dex1_wipe_table_ep199_hunyuan15.mp4,9,Hunyuan 1.5,Xinyuan,4,,,yes,observable,
010_unitree_g1dex1_syringe_water_transfer_ep0_hunyuan15.mp4,10,Hunyuan 1.5,Som,3,water moving without force,"Causality, Fluid",no,observable,
011_unitree_g1dex1_syringe_water_transfer_ep516_hunyuan15.mp4,11,Hunyuan 1.5,Aditya,2,The quality is good but syringe flew into the robot hand.,"Contact, Causality",no,observable,
012_unitree_g1dex1_syringe_water_transfer_ep1033_hunyuan15.mp4,12,Hunyuan 1.5,Isaiah,2,Left and right grippers morph to have a syringes.,Deformation,no,observable,
014_unitree_g1edu_u3_pour_drink_ep648_hunyuan15.mp4,14,Hunyuan 1.5,Jiqing,3,No liquid flows out.,"Causality, Fluid",yes,observable,
015_unitree_g1edu_u3_pour_drink_ep1297_hunyuan15.mp4,15,Hunyuan 1.5,Xinyuan,3,the juice jar moved itself,"Causality, Deformation",yes,observable,
016_ai2_alphabot_2_pour_water_ep0_hunyuan15.mp4,16,Hunyuan 1.5,Som,4,,,yes,observable,
017_ai2_alphabot_2_shake_bottle_ep0_hunyuan15.mp4,17,Hunyuan 1.5,Aditya,4,,,yes,observable,
