id,file,dataset,repo,task,view,camera_key,method,width,height,fps,frames,mb,deviation
73,073_rh20t_cfg1_hit_pool_ball_scene0001_ep2194.mp4,RH20T,robot-lev/rh20t_cfg1,Hit a pool ball with a cue,Third-person,observation.images.cam_035622060973,v3_segment_cut,640,360,10.0,271,2.35,"Manifest asks for 1280x720 third-person RGB; delivered 640x360. 1280x720 is RH20T's ORIGINAL capture resolution and is not distributed anywhere reachable: the official RH20T_color release was downsampled by the authors to 320x180, and 640x360 (this LeRobot port) is the highest-resolution RH20T RGB obtainable without a >30 GB tar. Verified genuine 640x360, not an upscale (640->320->640 roundtrip PSNR 29.9 dB, Laplacian variance 718). Also a user substitution: manifest says 'any user', so user_0005 was picked as the highest-rated (9/10) run of task_0016 scene_0001 in cfg1."
74,074_rh20t_cfg1_hit_pool_ball_scene0002_ep2464.mp4,RH20T,robot-lev/rh20t_cfg1,Hit a pool ball with a cue,Third-person,observation.images.cam_035622060973,v3_segment_cut,640,360,10.0,765,6.78,"Same 640x360 resolution substitution as id 73. Same user (user_0005) kept across both rows so scene_0001/scene_0002 are a matched pair from one operator; it is also the highest-rated (8/10) cfg1 task_0016 scene_0002 run tied with user_0001, and user_0005 was preferred for pairing with id 73."
75,075_unitree_g1dex1_conveyor_sorting_ep0.mp4,Unitree UniBot-V1,unitreerobotics/G1_Dex1_ConveyorSorting,Conveyor sorting,Egocentric,observation.images.head_stereo_left,v3_segment_cut,640,480,30.0,407,4.17,
76,076_unitree_g1dex1_conveyor_sorting_ep1048.mp4,Unitree UniBot-V1,unitreerobotics/G1_Dex1_ConveyorSorting,Conveyor sorting,Egocentric,observation.images.head_stereo_left,v3_segment_cut,640,480,30.0,345,6.2,
77,077_humanoid_everyday_use_soft_sponge_wipe_dry_surface_ep8634.mp4,Humanoid Everyday,USC-GVL/humanoid-everyday,Tool_use/use_a_soft_sponge_to_wipe_off_a_dry_surface,Egocentric,observation.images.egocentric,direct_mp4,640,480,30.0,344,0.5,
78,078_humanoid_everyday_wipe_a_table_with_an_eraser_ep8914.mp4,Humanoid Everyday,USC-GVL/humanoid-everyday,Tool_use/wipe_a_table_with_an_eraser,Egocentric,observation.images.egocentric,direct_mp4,640,480,30.0,387,0.74,
79,079_humanoid_everyday_clean_the_window_ep7001.mp4,Humanoid Everyday,USC-GVL/humanoid-everyday,Locomanip/clean_the_window,Egocentric,observation.images.egocentric,direct_mp4,640,480,30.0,1440,3.64,
80,080_unitree_g1dex1_erase_board_ep0.mp4,Unitree G1_Dex1,unitreerobotics/G1_Dex1_Erase_Board,Clean the blackboard with the eraser.,Egocentric,observation.images.cam_left_high,direct_mp4,640,480,30.0,674,4.6,
81,081_unitree_g1dex1_erase_board_ep199.mp4,Unitree G1_Dex1,unitreerobotics/G1_Dex1_Erase_Board,Clean the blackboard with the eraser.,Egocentric,observation.images.cam_left_high,direct_mp4,640,480,30.0,655,5.14,
82,082_galbot_g1_clear_table_residue_1_ep0.mp4,RoboCOIN,RoboCOIN/Galbot_G1_clear_table_residue_1,"Sweep shrimp from table into container with towel, then put container into takeout bag.",Egocentric,observation.images.cam_left_head_rgb,direct_mp4,960,720,30.0,1111,27.36,Source is already H.264 in mp4; stream-copy remux is lossless and sufficient.
83,083_galbot_g1_wipe_mirror_ep0.mp4,RoboCOIN,RoboCOIN/Galbot_G1_wipe_mirror,Pick up the towel from the sink counter and wipe the mirror surface.,Egocentric,observation.images.cam_left_head_rgb,direct_mp4,640,480,30.0,1348,20.87,Source is already H.264 in mp4; stream-copy remux is lossless and sufficient.
84,084_agibot_task421_wipe_stain_ep0.mp4,AgiBot World Alpha,weijian-sun/agibotworld-lerobot,Pick up the item to wipe away the stain,Egocentric,observation.images.top_head,direct_mp4,640,480,30.0,1460,8.21,
85,085_agibot_task421_wipe_stain_ep950.mp4,AgiBot World Alpha,weijian-sun/agibotworld-lerobot,Pick up the item to wipe away the stain,Egocentric,observation.images.top_head,direct_mp4,640,480,30.0,1282,4.87,"No substitution needed. task_421 has total_episodes=951 (indices 0..950), so episode 950 is the last valid episode and it exists; confirmed present in meta/episodes.jsonl (length=1282) and the mp4 exists at 10.49 MB."
86,086_aloha_static_ziploc_slide_ep0.mp4,Static ALOHA,lerobot/aloha_static_ziploc_slide,Slide open the ziploc bag.,Wrist / overhead,,,640,480,50.0,300,1.12,
87,087_unitree_g1dex3_toasted_bread_ep0.mp4,Unitree G1_Dex3,unitreerobotics/G1_Dex3_ToastedBread_Dataset,Place the bread into the toaster; hand the toast to the human.,Egocentric,observation.images.cam_left_high,v3_segment_cut,640,480,30.0,620,2.65,
88,088_unitree_g1dex3_toasted_bread_ep208.mp4,Unitree G1_Dex3,unitreerobotics/G1_Dex3_ToastedBread_Dataset,Place the bread into the toaster; hand the toast to the human.,Egocentric,observation.images.cam_left_high,v3_segment_cut,640,480,30.0,652,2.38,
89,089_unitree_g1dex3_toasted_bread_ep417.mp4,Unitree G1_Dex3,unitreerobotics/G1_Dex3_ToastedBread_Dataset,Place the bread into the toaster; hand the toast to the human.,Egocentric,observation.images.cam_left_high,v3_segment_cut,640,480,30.0,768,3.32,
90,090_unitree_z1_dual_pour_coffee_ep0.mp4,Unitree Z1 dual-arm,unitreerobotics/Z1_Dual_Dex1_PourCoffee_Dataset,"Operate the coffee machine: insert capsule, brew, place glass cup on tray.",Third-person,observation.images.cam_high,v3_segment_cut,640,480,30.0,1487,1.94,
91,091_unitree_z1_dual_pour_coffee_ep330.mp4,Unitree Z1 dual-arm,unitreerobotics/Z1_Dual_Dex1_PourCoffee_Dataset,"Operate the coffee machine: insert capsule, brew, place glass cup on tray.",Third-person,observation.images.cam_high,v3_segment_cut,640,480,30.0,1358,2.03,
93,093_humanoid_everyday_press_start_boiling_button_ep8078.mp4,Humanoid Everyday,USC-GVL/humanoid-everyday,Precision/press_start_boiling_button,Egocentric,observation.images.egocentric,direct_mp4,640,480,30.0,112,0.1,
94,094_humanoid_everyday_pick_up_kettle_place_base_turn_ep7022.mp4,Humanoid Everyday,USC-GVL/humanoid-everyday,Locomanip/pick_up_a_kettle_place_it_on_base_and_turn_on,Egocentric,observation.images.egocentric,direct_mp4,640,480,30.0,2173,4.49,
95,095_galbot_g1_scrub_toilet_ep0.mp4,RoboCOIN,RoboCOIN/Galbot_G1_scrub_toilet,"Open the toilet lid, clean the bowl with a brush, close the lid, and flush.",Egocentric,observation.images.cam_left_head_rgb,direct_mp4,640,480,30.0,5143,46.0,Source is already H.264 in mp4; stream-copy remux is lossless and sufficient.
96,096_galbot_g1_scrub_toilet_ep186.mp4,RoboCOIN,RoboCOIN/Galbot_G1_scrub_toilet,"Open the toilet lid, clean the bowl with a brush, close the lid, and flush.",Egocentric,observation.images.cam_left_head_rgb,direct_mp4,640,480,30.0,2009,19.77,Source is already H.264 in mp4; stream-copy remux is lossless and sufficient.
97,097_aloha_mobile_shrimp_ep0.mp4,Mobile ALOHA,lerobot/aloha_mobile_shrimp,"Saute the raw shrimp on both sides, then serve it in the bowl.",Wrist / overhead,,,640,480,50.0,3750,12.93,
98,098_aloha_static_coffee_ep0.mp4,Static ALOHA,lerobot/aloha_static_coffee,"Place the coffee capsule, then push the Hot Water and Travel Mug buttons.",Wrist / overhead,,,640,480,50.0,1100,4.41,
